,abbreviation,at_bats,average_batter_age,average_pitcher_age,away_losses,away_record,away_wins,balks,bases_on_balls,bases_on_walks_given,bases_on_walks_given_per_nine_innings,batters_faced,batting_average,complete_game_shutouts,complete_games,doubles,earned_runs_against,earned_runs_against_plus,extra_inning_losses,extra_inning_record,extra_inning_wins,fielding_independent_pitching,games,games_finished,grounded_into_double_plays,hit_pitcher,hits,hits_allowed,hits_per_nine_innings,home_losses,home_record,home_runs,home_runs_against,home_runs_per_nine_innings,home_wins,innings_pitched,intentional_bases_on_balls,interleague_record,last_ten_games_record,last_thirty_games_record,last_twenty_games_record,league,losses,losses_last_ten_games,losses_last_thirty_games,losses_last_twenty_games,losses_vs_left_handed_pitchers,losses_vs_right_handed_pitchers,losses_vs_teams_over_500,losses_vs_teams_under_500,luck,name,number_of_pitchers,number_players_used,on_base_percentage,on_base_plus_slugging_percentage,on_base_plus_slugging_percentage_plus,opposing_runners_left_on_base,plate_appearances,pythagorean_win_loss,rank,record_vs_left_handed_pitchers,record_vs_right_handed_pitchers,record_vs_teams_over_500,record_vs_teams_under_500,run_difference,runners_left_on_base,runs,runs_against,runs_allowed_per_game,runs_batted_in,sacrifice_flies,sacrifice_hits,saves,shutouts,simple_rating_system,single_run_losses,single_run_record,single_run_wins,slugging_percentage,stolen_bases,streak,strength_of_schedule,strikeouts,strikeouts_per_base_on_balls,strikeouts_per_nine_innings,times_caught_stealing,times_hit_by_pitch,times_struck_out,total_bases,total_runs,triples,whip,wild_pitches,win_percentage,wins,wins_last_ten_games,wins_last_thirty_games,wins_last_twenty_games,wins_vs_left_handed_pitchers,wins_vs_right_handed_pitchers,wins_vs_teams_over_500,wins_vs_teams_under_500
CHC,CHC,5503,27.4,29.9,34,46-34,46,0,656,495,3.1,5933,0.256,2,5,293,3.15,133,4,9-4,9,3.77,162,157,107,96,1409,1125,6.9,24,57-24,199,163,1.0,57,1459.2,45,15-5,,,,NL,58,,,,17,41,25,33,-4,Chicago Cubs,26,45,0.343,0.772,104,998,6335,107-54,1,28-17,75-41,31-25,72-33,1.6,1217,5.0,3.4,3.43,767,37,42,38,15,1.3,23,22-23,22,0.429,66,,-0.2,1441,2.91,8.9,34,96,1339,2359,808,30,1.11,80,0.64,103,,,,28,75,31,72
WSN,WSN,5490,28.8,29.1,36,45-36,45,4,536,468,2.9,6036,0.256,0,1,268,3.51,122,8,5-8,5,3.58,162,161,102,64,1403,1272,7.8,31,50-31,203,155,1.0,50,1459.2,49,12-8,,,,NL,67,,,,14,53,29,38,-2,Washington Nationals,24,43,0.326,0.751,96,1044,6201,97-65,2,20-14,75-53,31-29,64-38,0.9,1105,4.7,3.8,3.78,735,63,48,46,12,0.6,19,26-19,26,0.426,121,,-0.3,1476,3.15,9.1,39,64,1252,2338,763,29,1.192,47,0.586,95,,,,20,75,31,64
TEX,TEX,5525,28.4,28.8,39,42-39,42,5,436,534,3.3,6186,0.262,0,1,257,4.37,104,6,6-6,6,4.58,162,161,114,70,1446,1441,9.0,28,53-28,215,201,1.3,53,1443.0,23,13-7,,,,AL,67,,,,19,48,31,36,13,Texas Rangers,31,52,0.322,0.755,96,1100,6089,82-80,3,22-19,73-48,60-31,35-36,0.0,1038,4.7,4.7,4.67,746,40,18,56,6,0.2,11,36-11,36,0.433,99,,0.1,1154,2.16,7.2,36,70,1220,2394,765,23,1.369,45,0.586,95,,,,22,73,60,35
CLE,CLE,5484,29.0,28.1,39,41-39,41,7,531,461,2.9,6033,0.262,3,5,308,3.84,118,6,6-6,6,3.91,161,156,137,49,1435,1330,8.3,28,53-28,185,186,1.2,53,1445.0,16,13-7,,,,AL,67,,,,20,47,43,24,3,Cleveland Indians,27,48,0.329,0.759,96,1022,6155,91-70,4,31-20,63-47,48-43,46-24,0.6,1084,4.8,4.2,4.2,733,60,31,37,11,0.6,21,28-21,28,0.43,134,,0.0,1398,3.03,8.7,31,49,1246,2356,777,29,1.239,49,0.584,94,,,,31,63,48,46
BOS,BOS,5670,28.5,29.0,35,46-35,46,0,558,490,3.1,6073,0.282,1,9,343,4.0,112,4,7-4,7,4.0,162,153,137,43,1598,1342,8.4,34,47-34,208,176,1.1,47,1439.2,34,14-6,,,,AL,69,,,,17,52,48,21,-5,Boston Red Sox,26,50,0.348,0.81,112,1060,6320,98-64,5,20-17,73-52,55-48,38-21,1.1,1162,5.4,4.3,4.28,836,40,8,43,5,1.3,24,20-24,20,0.461,83,,0.1,1362,2.78,8.5,24,43,1160,2615,878,25,1.273,52,0.574,93,,,,20,73,55,38
LAD,LAD,5518,28.9,28.9,43,38-43,38,5,525,464,2.9,6014,0.249,3,3,272,3.7,109,8,6-8,6,3.61,162,159,120,58,1376,1266,7.8,28,53-28,189,165,1.0,53,1453.0,31,10-10,,,,NL,71,,,,24,47,26,45,1,Los Angeles Dodgers,31,55,0.319,0.728,95,1017,6164,90-72,6,22-24,69-47,31-26,60-45,0.5,1106,4.5,3.9,3.94,680,32,30,47,15,0.4,20,22-20,22,0.409,45,,-0.2,1510,3.25,9.4,26,58,1321,2257,725,21,1.191,58,0.562,91,,,,22,69,31,60
TOR,TOR,5479,30.0,29.8,38,43-38,43,7,632,461,2.8,6113,0.248,0,0,276,3.78,113,9,4-9,4,4.04,162,162,153,55,1358,1340,8.3,35,46-35,221,183,1.1,46,1459.1,16,13-7,,,,AL,73,,,,20,53,45,28,-2,Toronto Blue Jays,29,49,0.33,0.755,101,1069,6233,91-71,7,24-20,65-53,58-45,31-28,0.6,1120,4.7,4.1,4.11,728,40,26,43,10,0.8,25,21-25,21,0.426,54,,0.2,1314,2.85,8.1,24,55,1362,2333,759,18,1.234,50,0.549,89,,,,24,65,58,31
BAL,BAL,5524,28.5,27.9,42,39-42,39,3,468,545,3.4,6122,0.256,0,1,265,4.22,102,2,6-2,6,4.31,162,161,119,44,1413,1408,8.8,31,50-31,253,183,1.2,50,1432.0,19,14-6,,,,AL,73,,,,23,50,54,19,5,Baltimore Orioles,27,47,0.317,0.76,101,1111,6089,84-78,8,23-23,66-50,53-54,36-19,0.2,1065,4.6,4.4,4.41,710,36,17,54,9,0.4,16,21-16,21,0.443,19,,0.3,1248,2.29,7.8,13,44,1324,2449,744,6,1.364,59,0.549,89,,,,23,66,53,36
NYM,NYM,5459,29.5,28.4,38,43-38,43,7,517,439,2.7,6067,0.246,1,1,240,3.57,113,5,8-5,8,3.56,162,161,123,62,1342,1397,8.7,37,44-37,218,152,0.9,44,1447.0,43,12-8,,,,NL,75,,,,18,57,30,45,0,New York Mets,22,46,0.316,0.733,97,1109,6115,87-75,9,19-18,68-57,30-30,57-45,0.3,1120,4.1,3.8,3.81,649,41,35,55,13,0.1,22,25-22,25,0.417,42,,-0.3,1396,3.18,8.7,18,62,1302,2274,671,19,1.269,50,0.537,87,,,,19,68,30,57
SFG,SFG,5565,29.2,30.0,39,42-39,42,6,572,439,2.7,6049,0.258,3,10,280,3.65,109,7,11-7,11,3.76,162,152,120,42,1437,1334,8.2,36,45-36,130,158,1.0,45,1460.1,43,8-12,,,,NL,75,,,,22,53,33,42,-3,San Francisco Giants,25,45,0.329,0.728,97,1037,6271,90-72,10,30-22,57-53,27-33,60-42,0.5,1188,4.4,3.9,3.9,675,46,42,43,11,0.3,27,28-27,28,0.398,79,,-0.2,1309,2.98,8.1,36,42,1107,2215,715,54,1.214,40,0.537,87,,,,30,57,27,60
