,abbreviation,at_bats,average_batter_age,average_pitcher_age,away_losses,away_record,away_wins,balks,bases_on_balls,bases_on_walks_given,bases_on_walks_given_per_nine_innings,batters_faced,batting_average,complete_game_shutouts,complete_games,doubles,earned_runs_against,earned_runs_against_plus,extra_inning_losses,extra_inning_record,extra_inning_wins,fielding_independent_pitching,games,games_finished,grounded_into_double_plays,hit_pitcher,hits,hits_allowed,hits_per_nine_innings,home_losses,home_record,home_runs,home_runs_against,home_runs_per_nine_innings,home_wins,innings_pitched,intentional_bases_on_balls,interleague_record,last_ten_games_record,last_thirty_games_record,last_twenty_games_record,league,losses,losses_last_ten_games,losses_last_thirty_games,losses_last_twenty_games,losses_vs_left_handed_pitchers,losses_vs_right_handed_pitchers,losses_vs_teams_over_500,losses_vs_teams_under_500,luck,name,number_of_pitchers,number_players_used,on_base_percentage,on_base_plus_slugging_percentage,on_base_plus_slugging_percentage_plus,opposing_runners_left_on_base,plate_appearances,pythagorean_win_loss,rank,record_vs_left_handed_pitchers,record_vs_right_handed_pitchers,record_vs_teams_over_500,record_vs_teams_under_500,run_difference,runners_left_on_base,runs,runs_against,runs_allowed_per_game,runs_batted_in,sacrifice_flies,sacrifice_hits,saves,shutouts,simple_rating_system,single_run_losses,single_run_record,single_run_wins,slugging_percentage,stolen_bases,streak,strength_of_schedule,strikeouts,strikeouts_per_base_on_balls,strikeouts_per_nine_innings,times_caught_stealing,times_hit_by_pitch,times_struck_out,total_bases,total_runs,triples,whip,wild_pitches,win_percentage,wins,wins_last_ten_games,wins_last_thirty_games,wins_last_twenty_games,wins_vs_left_handed_pitchers,wins_vs_right_handed_pitchers,wins_vs_teams_over_500,wins_vs_teams_under_500
LAD,LAD,5408,27.9,29.7,34,47-34,47,10,649,442,2.8,5925,0.249,0,2,312,3.38,123,4,8-4,8,3.67,162,160,119,64,1347,1226,7.6,24,57-24,221,184,1.1,57,1444.2,41,16-4,,,,NL,58,,,,15,43,33,25,2,Los Angeles Dodgers,26,52,0.334,0.771,104,1011,6191,102-60,1,33-15,71-43,36-33,68-25,1.2,1146,4.8,3.6,3.58,730,38,31,51,16,0.9,19,25-19,25,0.437,77,,-0.2,1549,3.5,9.6,28,64,1380,2362,770,20,1.155,40,0.642,104,,,,33,71,36,68
CLE,CLE,5511,28.0,28.9,28,53-28,53,1,604,406,2.5,5866,0.263,3,7,333,3.3,138,2,4-2,4,3.33,162,155,125,50,1449,1267,7.9,32,49-32,212,163,1.0,49,1440.2,30,6-14,,,,AL,60,,,,24,36,22,38,-6,Cleveland Indians,20,41,0.339,0.788,104,980,6234,108-54,2,36-24,66-36,27-22,75-38,1.6,1158,5.0,3.5,3.48,780,45,23,37,19,1.5,15,20-15,20,0.449,88,,-0.1,1614,3.98,10.1,23,50,1153,2476,818,29,1.161,48,0.63,102,,,,36,66,27,75
HOU,HOU,5611,28.8,28.5,28,53-28,53,4,509,522,3.2,6111,0.282,0,1,346,4.12,99,4,4-4,4,3.91,162,161,139,70,1581,1314,8.2,33,48-33,238,192,1.2,48,1446.0,27,15-5,,,,AL,61,,,,24,37,15,46,2,Houston Astros,27,46,0.346,0.823,123,1073,6271,99-63,3,21-24,80-37,18-15,83-46,1.2,1094,5.5,4.3,4.32,854,61,11,45,9,1.2,13,19-13,19,0.478,98,,0.0,1593,3.05,9.9,42,70,1087,2681,896,20,1.27,86,0.624,101,,,,21,80,18,83
WSN,WSN,5553,29.2,30.1,31,50-31,50,5,542,495,3.1,6068,0.266,1,3,311,3.88,116,4,7-4,7,3.99,162,159,116,31,1477,1300,8.1,34,47-34,215,189,1.2,47,1446.2,56,10-10,,,,NL,65,,,,15,50,19,46,1,Washington Nationals,24,49,0.332,0.782,99,1056,6214,96-66,4,22-15,75-50,23-19,74-46,0.9,1101,5.1,4.1,4.15,796,45,43,46,5,0.6,21,30-21,30,0.449,108,,-0.3,1457,2.94,9.1,30,31,1327,2495,819,31,1.241,44,0.599,97,,,,22,75,23,74
BOS,BOS,5669,27.3,28.4,36,45-36,45,3,571,465,2.8,6217,0.258,1,5,302,3.7,123,3,15-3,15,3.78,162,157,141,53,1461,1384,8.4,33,48-33,168,195,1.2,48,1482.1,48,16-4,,,,AL,69,,,,19,50,23,46,0,Boston Red Sox,27,49,0.329,0.736,92,1102,6338,93-69,5,18-19,75-50,27-23,66-46,0.7,1134,4.8,4.1,4.12,735,36,9,39,11,0.8,19,22-19,22,0.407,106,,0.1,1580,3.4,9.6,31,53,1224,2305,785,19,1.247,43,0.574,93,,,,18,75,27,66
ARI,ARI,5525,28.3,28.7,40,41-40,41,5,578,516,3.2,6072,0.254,1,2,314,3.66,128,3,9-3,9,3.8,162,160,106,54,1405,1309,8.2,29,52-29,220,171,1.1,52,1441.0,44,12-8,,,,NL,69,,,,17,52,35,34,-3,Arizona Diamondbacks,23,45,0.329,0.774,94,1090,6224,96-66,6,25-17,68-52,39-35,54-34,0.9,1118,5.0,4.1,4.07,776,27,39,43,11,0.8,23,29-23,29,0.445,103,,-0.2,1482,2.87,9.3,30,54,1456,2457,812,39,1.266,82,0.574,93,,,,25,68,39,54
CHC,CHC,5496,27.1,30.8,37,44-37,44,4,622,554,3.4,6108,0.255,1,2,274,3.95,112,3,7-3,7,4.2,162,160,134,82,1402,1294,8.0,33,48-33,223,194,1.2,48,1447.1,54,12-8,,,,NL,70,,,,14,56,35,35,-1,Chicago Cubs,28,47,0.338,0.775,99,1071,6283,93-69,7,21-14,71-56,35-35,57-35,0.8,1147,5.1,4.3,4.29,785,32,48,38,8,0.6,17,26-17,26,0.437,62,,-0.2,1439,2.6,8.9,31,82,1401,2403,822,29,1.277,73,0.568,92,,,,21,71,35,57
NYY,NYY,5594,28.6,27.8,41,40-41,40,4,616,504,3.1,6078,0.262,1,2,266,3.72,121,6,5-6,5,3.88,162,160,119,64,1463,1248,7.8,30,51-30,241,192,1.2,51,1448.2,22,15-5,,,,AL,71,,,,23,48,22,49,-9,New York Yankees,25,51,0.339,0.785,105,1072,6354,100-62,8,24-23,67-48,26-22,65-49,1.2,1184,5.3,4.1,4.07,821,56,18,36,7,1.3,26,18-26,18,0.447,90,,0.1,1560,3.1,9.7,22,64,1386,2498,858,23,1.209,83,0.562,91,,,,24,67,26,65
COL,COL,5534,28.3,27.0,40,41-40,41,10,519,532,3.3,6177,0.273,1,1,293,4.51,112,3,2-3,2,4.32,162,161,143,44,1510,1453,9.1,35,46-35,192,190,1.2,46,1437.2,46,10-10,,,,NL,75,,,,20,55,35,40,0,Colorado Rockies,21,41,0.338,0.781,90,1107,6201,87-75,9,28-20,59-55,37-35,50-40,0.4,1088,5.1,4.7,4.67,793,41,62,47,9,0.3,14,21-14,21,0.444,59,,-0.1,1270,2.39,8.0,34,44,1408,2455,824,38,1.381,69,0.537,87,,,,28,59,37,50
MIL,MIL,5467,27.4,28.3,38,40-38,40,2,547,553,3.4,6164,0.249,0,1,267,4.0,110,11,5-11,5,4.24,162,161,116,53,1363,1381,8.6,38,46-38,224,185,1.2,46,1445.2,34,11-9,,,,NL,76,,,,17,59,38,38,1,Milwaukee Brewers,30,50,0.322,0.751,94,1130,6135,85-77,10,17-17,69-59,37-38,49-38,0.2,1088,4.5,4.3,4.3,695,26,42,54,12,0.1,22,25-22,25,0.429,128,,-0.1,1346,2.43,8.4,41,53,1571,2346,732,22,1.338,50,0.531,86,,,,17,69,37,49
MIN,MIN,5557,27.0,29.6,37,44-37,44,8,593,483,3.0,6205,0.26,3,6,286,4.59,97,3,3-3,3,4.72,162,156,105,46,1444,1487,9.3,40,41-40,206,224,1.4,41,1436.0,26,13-7,,,,AL,77,,,,23,54,31,46,2,Minnesota Twins,36,52,0.334,0.768,104,1109,6261,83-79,11,26-23,59-54,20-31,65-46,0.2,1147,5.0,4.9,4.86,781,39,26,42,11,0.2,18,15-18,15,0.434,95,,0.1,1166,2.41,7.3,28,46,1342,2410,815,31,1.372,52,0.525,85,,,,26,59,20,65
STL,STL,5470,28.0,28.3,42,39-42,39,0,593,493,3.1,6153,0.256,3,3,284,4.01,106,9,5-9,5,4.09,162,159,139,65,1402,1393,8.6,37,44-37,196,183,1.1,44,1450.1,36,8-12,,,,NL,79,,,,16,63,44,35,-4,St. Louis Cardinals,25,48,0.334,0.76,99,1097,6219,87-75,12,19-16,64-63,27-44,56-35,0.3,1118,4.7,4.4,4.35,728,44,47,43,12,0.2,29,24-29,24,0.426,81,,-0.1,1351,2.74,8.4,31,65,1348,2330,761,28,1.3,38,0.512,83,,,,19,64,27,56
LAA,LAA,5415,30.0,29.1,44,37-44,37,6,523,470,2.9,6030,0.243,1,1,251,4.2,102,7,8-7,8,4.43,162,161,141,70,1314,1373,8.6,38,43-38,186,224,1.4,43,1440.2,30,11-9,,,,AL,82,,,,24,58,31,51,-1,Los Angeles Angels,31,55,0.315,0.712,92,999,6073,81-81,13,24-24,56-58,21-31,59-51,0.0,1033,4.4,4.4,4.38,678,46,17,43,10,0.1,22,27-22,27,0.397,136,,0.1,1312,2.79,8.2,44,70,1198,2151,710,14,1.279,57,0.494,80,,,,24,56,21,59
KCR,KCR,5536,28.9,30.3,44,37-44,37,6,390,519,3.2,6218,0.259,1,1,260,4.61,97,7,4-7,4,4.43,162,161,160,45,1436,1480,9.3,38,43-38,193,196,1.2,43,1437.2,19,9-11,,,,AL,82,,,,23,59,42,40,8,Kansas City Royals,29,49,0.311,0.731,93,1114,6027,72-90,14,18-23,62-59,29-42,51-40,-0.5,1005,4.3,4.9,4.88,660,37,17,39,6,-0.4,16,25-16,25,0.42,91,,0.2,1216,2.34,7.6,31,45,1166,2323,702,24,1.39,48,0.494,80,,,,18,62,29,51
TBR,TBR,5478,28.3,27.6,43,38-43,38,4,545,503,3.1,6099,0.245,0,0,226,3.97,106,6,8-6,8,4.17,162,162,115,55,1340,1324,8.2,39,42-39,228,193,1.2,42,1445.0,33,11-9,,,,AL,82,,,,29,53,37,45,0,Tampa Bay Rays,31,53,0.317,0.739,99,1060,6147,80-82,15,19-29,61-53,31-37,49-45,-0.1,1114,4.3,4.3,4.35,671,48,16,53,9,0.1,24,21-24,21,0.422,88,,0.2,1352,2.69,8.4,34,55,1538,2314,694,32,1.264,83,0.494,80,,,,19,61,31,49
TEX,TEX,5430,28.3,28.8,44,37-44,37,7,544,559,3.5,6211,0.244,1,2,255,4.66,103,5,5-5,5,4.88,162,160,110,81,1326,1443,9.1,40,41-40,237,214,1.3,41,1434.1,18,14-6,,,,AL,84,,,,18,66,30,54,-1,Texas Rangers,31,51,0.32,0.75,91,1092,6122,79-83,16,22-18,56-66,18-30,60-54,-0.1,1015,4.9,5.0,5.04,756,39,27,29,6,0.0,24,13-24,13,0.43,113,,0.1,1107,1.98,6.9,44,81,1493,2334,799,21,1.396,63,0.481,78,,,,22,56,18,60
